,Prototype_aver_anger_1,Res_aver_anger_1,Prototype_aver_disgust_6,Res_aver_disgust_6,Prototype_aver_fear_2,Res_aver_fear_2,Prototype_aver_happiness_3,Res_aver_happiness_3,Prototype_aver_sadness_4,Res_aver_sadness_4,Prototype_aver_surprise_5,Res_aver_surprise_5,Prototype_aver_neutral_7,Res_aver_neutral_7
0,0.129,0.143,0.167,0.129,0.167,0.133,0.156,0.129,0.129,0.167,0.1,0.133,0.179,0.143
1,0.15,0.143,0.125,0.176,0.087,0.095,0.167,0.235,0.176,0.286,0.25,0.333,0.125,0.125
2,0.172,0.2,0.118,0.192,0.194,0.179,0.333,0.235,0.261,0.25,0.231,0.238,0.238,0.5
3,0.1,0.25,0.077,0.111,0.077,0.167,0.455,0.222,0.333,0.455,0.267,0.364,0.333,0.5
4,0.208,0.2,0.15,0.158,0.2,0.16,0.25,0.167,0.261,0.353,0.286,0.4,0.385,0.5
5,0.211,0.261,0.111,0.227,0.182,0.182,0.5,0.417,0.208,0.318,0.231,0.375,0.375,0.538
6,0.25,0.375,0.267,0.312,0.111,0.111,0.5,0.273,0.2,0.4,0.286,0.286,0.067,0.333
7,0.13,0.261,0.12,0.19,0.136,0.167,0.222,0.222,0.192,0.217,0.273,0.261,0.35,0.286
8,0.222,0.233,0.176,0.185,0.133,0.133,0.333,0.286,0.148,0.24,0.235,0.333,0.333,0.333
9,0.278,0.222,0.118,0.263,0.15,0.111,0.267,0.308,0.2,0.429,0.385,0.429,0.462,0.231
10,0.235,0.286,0.25,0.278,0.19,0.222,0.385,0.455,0.208,0.538,0.308,0.353,0.462,0.462
11,0.294,0.4,0.077,0.222,0.118,0.111,0.417,0.357,0.25,0.353,0.2,0.278,0.462,0.417
12,0.167,0.25,0.217,0.217,0.091,0.154,0.174,0.222,0.167,0.3,0.143,0.3,0.273,0.3
13,0.182,0.238,0.111,0.2,0.15,0.182,0.211,0.188,0.182,0.263,0.312,0.278,0.333,0.25
14,0.375,0.429,0.077,0.333,0.077,0.143,0.308,0.154,0.25,0.455,0.308,0.5,0.429,0.214
15,0.214,0.231,0.133,0.154,0.2,0.167,0.333,0.125,0.286,0.364,0.25,0.231,0.364,0.4
16,0.067,0.375,0.067,0.2,0.091,0.105,0.429,0.273,0.231,0.5,0.308,0.5,0.5,0.375
17,0.333,0.5,0.3,0.308,0.1,0.077,0.182,0.222,0.429,0.5,0.308,0.364,0.462,0.2
18,0.217,0.214,0.158,0.238,0.192,0.231,0.294,0.167,0.192,0.111,0.238,0.273,0.375,0.333
19,0.1,0.174,0.2,0.238,0.053,0.207,0.333,0.154,0.261,0.4,0.2,0.294,0.167,0.1
20,0.231,0.231,0.364,0.273,0.091,0.083,0.4,0.2,0.417,0.5,0.417,0.455,0.364,0.4
21,0.417,0.364,0.308,0.273,0.083,0.083,0.364,0.111,0.3,0.385,0.273,0.273,0.167,0.333
22,0.188,0.312,0.211,0.357,0.2,0.125,0.2,0.182,0.25,0.417,0.188,0.462,0.357,0.5
23,0.267,0.4,0.2,0.2,0.143,0.133,0.143,0.231,0.125,0.385,0.231,0.308,0.357,0.417
24,0.286,0.312,0.214,0.182,0.294,0.286,0.25,0.222,0.231,0.455,0.3,0.154,0.5,0.455
25,0.154,0.294,0.083,0.267,0.111,0.2,0.462,0.417,0.312,0.375,0.308,0.538,0.5,0.462
26,0.231,0.207,0.238,0.261,0.208,0.2,0.375,0.385,0.261,0.368,0.25,0.273,0.375,0.4
27,0.158,0.278,0.111,0.263,0.19,0.136,0.462,0.286,0.375,0.353,0.25,0.375,0.462,0.375
28,0.267,0.267,0.214,0.2,0.071,0.154,0.333,0.222,0.167,0.333,0.333,0.333,0.25,0.143
29,0.273,0.364,0.111,0.111,0.2,0.111,0.333,0.4,0.2,0.455,0.273,0.4,0.3,0.364
30,0.2,0.238,0.167,0.235,0.174,0.15,0.333,0.267,0.235,0.316,0.222,0.357,0.25,0.278
31,0.25,0.261,0.217,0.227,0.13,0.2,0.1,0.087,0.2,0.333,0.25,0.273,0.273,0.19
32,0.208,0.304,0.158,0.217,0.167,0.182,0.16,0.143,0.2,0.25,0.182,0.19,0.15,0.143
33,0.25,0.286,0.182,0.25,0.095,0.158,0.333,0.143,0.13,0.238,0.2,0.3,0.3,0.263
34,0.4,0.3,0.1,0.312,0.188,0.158,0.5,0.3,0.4,0.4,0.308,0.429,0.273,0.455
35,0.2,0.333,0.091,0.25,0.214,0.2,0.455,0.4,0.25,0.5,0.273,0.4,0.538,0.5
36,0.2,0.263,0.154,0.214,0.235,0.176,0.133,0.188,0.231,0.25,0.176,0.188,0.316,0.133
37,0.188,0.188,0.111,0.333,0.133,0.231,0.182,0.455,0.4,0.538,0.308,0.4,0.417,0.5
38,0.308,0.333,0.182,0.3,0.167,0.083,0.455,0.333,0.429,0.417,0.364,0.417,0.273,0.364
39,0.333,0.467,0.1,0.182,0.062,0.077,0.455,0.222,0.417,0.462,0.3,0.417,0.3,0.455
