index,participant_id,code,emotion_category,emotion_type,valence,arousal,humanlike
0,my01,10,An,prototype,3.1333333333333333,3.8,7.2
1,my01,20,An,BO,2.933333333333333,5.2,7
2,my01,30,Ha,prototype,4.666666666666667,1.9333333333333331,4.466666666666667
3,my01,40,Ha,BO,4.066666666666666,2.2666666666666666,4.533333333333333
4,my02,10,An,prototype,5.2,5.266666666666667,5.666666666666667
5,my02,20,An,BO,3.8,5.2,5.066666666666666
6,my02,30,Ha,prototype,4.466666666666667,4.4,4.4
7,my02,40,Ha,BO,3.466666666666667,3.1333333333333333,3.2666666666666666
8,my04,10,An,prototype,4.266666666666667,5.066666666666666,5.466666666666667
9,my04,20,An,BO,3.8,6.8,3.1333333333333333
10,my04,30,Ha,prototype,6.2,4.266666666666667,5.2
11,my04,40,Ha,BO,5.266666666666667,4.066666666666666,4.466666666666667
12,my05,10,An,prototype,3.2,5.333333333333333,7.133333333333334
13,my05,20,An,BO,1.5333333333333334,8.133333333333333,3.6
14,my05,30,Ha,prototype,5.2,4.733333333333333,4.866666666666666
15,my05,40,Ha,BO,5,3,4.533333333333333
16,my06,10,An,prototype,3.466666666666667,5.4,4.866666666666666
17,my06,20,An,BO,3.933333333333333,7.133333333333334,5.2
18,my06,30,Ha,prototype,6.2,5.666666666666667,5.133333333333334
19,my06,40,Ha,BO,5.333333333333333,4.333333333333333,5.266666666666667
20,my09,10,An,prototype,6.933333333333334,6.133333333333334,7
21,my09,20,An,BO,6.933333333333334,6.866666666666666,7
22,my09,30,Ha,prototype,3.066666666666667,5.4,3.933333333333333
23,my09,40,Ha,BO,2.2,4.133333333333334,2.8
24,my10,10,An,prototype,5.466666666666667,6.733333333333333,7.466666666666667
25,my10,20,An,BO,7.866666666666666,7.8,7.8
26,my10,30,Ha,prototype,6.266666666666667,6.333333333333333,5.2
27,my10,40,Ha,BO,5.2,5.666666666666667,3.6666666666666665
28,my11,10,An,prototype,4.733333333333333,5.133333333333334,4.733333333333333
29,my11,20,An,BO,4.933333333333334,6.933333333333334,4.933333333333334
30,my11,30,Ha,prototype,4.6,5.6,4
31,my11,40,Ha,BO,4,4,3.2
32,my12,10,An,prototype,3.4,6.4,4.6
33,my12,20,An,BO,2.8666666666666667,7.8,4.066666666666666
34,my12,30,Ha,prototype,6.533333333333333,5.933333333333334,5.666666666666667
35,my12,40,Ha,BO,6,5.266666666666667,5.066666666666666
36,my13,10,An,prototype,4.866666666666666,7.6,7.133333333333334
37,my13,20,An,BO,4.8,7.733333333333333,7.066666666666666
38,my13,30,Ha,prototype,6.4,3.466666666666667,7
39,my13,40,Ha,BO,6.733333333333333,3,6.333333333333333
40,my14,10,An,prototype,1.1333333333333333,6.4,7.6
41,my14,20,An,BO,1.3333333333333333,7.6,7.066666666666666
42,my14,30,Ha,prototype,6.6,6.533333333333333,8
43,my14,40,Ha,BO,2.466666666666667,5.666666666666667,7.4
44,my15,10,An,prototype,3.466666666666667,6.466666666666667,6.866666666666666
45,my15,20,An,BO,3.2,7.066666666666666,6.8
46,my15,30,Ha,prototype,6,6.133333333333334,5
47,my15,40,Ha,BO,4.8,5.6,4.333333333333333
48,my16,10,An,prototype,4.8,5.866666666666666,7.666666666666667
49,my16,20,An,BO,6.666666666666667,7.133333333333334,7.333333333333333
50,my16,30,Ha,prototype,5.866666666666666,5,4.666666666666667
51,my16,40,Ha,BO,5.8,5,5.266666666666667
52,my17,10,An,prototype,2.1333333333333333,7.533333333333333,6
53,my17,20,An,BO,1.6666666666666667,8.733333333333333,4.2
54,my17,30,Ha,prototype,7.266666666666667,5.533333333333333,4.866666666666666
55,my17,40,Ha,BO,5.066666666666666,3.8,5.2
56,my18,10,An,prototype,3.7333333333333334,7.266666666666667,4.466666666666667
57,my18,20,An,BO,2.933333333333333,7.933333333333334,4
58,my18,30,Ha,prototype,5.4,6.733333333333333,4.666666666666667
59,my18,40,Ha,BO,5.866666666666666,6.2,4.866666666666666
60,my19,10,An,prototype,4.533333333333333,5.333333333333333,5.6
61,my19,20,An,BO,4,5.133333333333334,3.933333333333333
62,my19,30,Ha,prototype,3.8666666666666663,6.333333333333333,5.133333333333334
63,my19,40,Ha,BO,3.933333333333333,4.066666666666666,3
64,my20,10,An,prototype,3,6.2,6.866666666666666
65,my20,20,An,BO,2.533333333333333,6.866666666666666,6.466666666666667
66,my20,30,Ha,prototype,6.933333333333334,6,6.466666666666667
67,my20,40,Ha,BO,5.866666666666666,5.4,5.333333333333333
68,my21,10,An,prototype,2.6666666666666665,6.066666666666666,3.7333333333333334
69,my21,20,An,BO,1.7333333333333334,6.733333333333333,4.133333333333334
70,my21,30,Ha,prototype,6.733333333333333,2.8666666666666667,6.133333333333334
71,my21,40,Ha,BO,4.733333333333333,4,4.8
72,my22,10,An,prototype,3.1333333333333333,7.066666666666666,6.466666666666667
73,my22,20,An,BO,3.066666666666667,7.333333333333333,5.666666666666667
74,my22,30,Ha,prototype,7.333333333333333,5.6,5.4
75,my22,40,Ha,BO,6.2,4.866666666666666,5.133333333333334
76,my23,10,An,prototype,2.1333333333333333,4.333333333333333,4.066666666666666
77,my23,20,An,BO,1.9333333333333331,5.4,4
78,my23,30,Ha,prototype,6.266666666666667,6.666666666666667,7.133333333333334
79,my23,40,Ha,BO,5.066666666666666,5.466666666666667,5.866666666666666
80,my24,10,An,prototype,3.2,6.266666666666667,6.533333333333333
81,my24,20,An,BO,2.8,7.2,7.466666666666667
82,my24,30,Ha,prototype,5.133333333333334,4.733333333333333,5.066666666666666
83,my24,40,Ha,BO,3.533333333333333,3.6,3.066666666666667
84,my25,10,An,prototype,3.7333333333333334,6.333333333333333,3.533333333333333
85,my25,20,An,BO,2.8,6.933333333333334,3.2666666666666666
86,my25,30,Ha,prototype,5.933333333333334,6.6,5.8
87,my25,40,Ha,BO,4.533333333333333,6.066666666666666,4.066666666666666
88,my26,10,An,prototype,2.7333333333333334,4.933333333333334,2.1333333333333333
89,my26,20,An,BO,2.3333333333333335,5.466666666666667,1.9333333333333331
90,my26,30,Ha,prototype,4.466666666666667,4.266666666666667,3
91,my26,40,Ha,BO,3.4,3.7333333333333334,1.9333333333333331
