,index,participant_id,code,emotion_category,emotion_type,measure,value
1,0,my01,10,An,prototype,arousal,3.8
4,1,my01,20,An,BO,arousal,5.2
13,4,my02,10,An,prototype,arousal,5.266666666666667
16,5,my02,20,An,BO,arousal,5.2
25,8,my04,10,An,prototype,arousal,5.066666666666666
28,9,my04,20,An,BO,arousal,6.8
37,12,my05,10,An,prototype,arousal,5.333333333333333
40,13,my05,20,An,BO,arousal,8.133333333333333
49,16,my06,10,An,prototype,arousal,5.4
52,17,my06,20,An,BO,arousal,7.133333333333334
61,20,my09,10,An,prototype,arousal,6.133333333333334
64,21,my09,20,An,BO,arousal,6.866666666666666
73,24,my10,10,An,prototype,arousal,6.733333333333333
76,25,my10,20,An,BO,arousal,7.8
85,28,my11,10,An,prototype,arousal,5.133333333333334
88,29,my11,20,An,BO,arousal,6.933333333333334
97,32,my12,10,An,prototype,arousal,6.4
100,33,my12,20,An,BO,arousal,7.8
109,36,my13,10,An,prototype,arousal,7.6
112,37,my13,20,An,BO,arousal,7.733333333333333
121,40,my14,10,An,prototype,arousal,6.4
124,41,my14,20,An,BO,arousal,7.6
133,44,my15,10,An,prototype,arousal,6.466666666666667
136,45,my15,20,An,BO,arousal,7.066666666666666
145,48,my16,10,An,prototype,arousal,5.866666666666666
148,49,my16,20,An,BO,arousal,7.133333333333334
157,52,my17,10,An,prototype,arousal,7.533333333333333
160,53,my17,20,An,BO,arousal,8.733333333333333
169,56,my18,10,An,prototype,arousal,7.266666666666667
172,57,my18,20,An,BO,arousal,7.933333333333334
181,60,my19,10,An,prototype,arousal,5.333333333333333
184,61,my19,20,An,BO,arousal,5.133333333333334
193,64,my20,10,An,prototype,arousal,6.2
196,65,my20,20,An,BO,arousal,6.866666666666666
205,68,my21,10,An,prototype,arousal,6.066666666666666
208,69,my21,20,An,BO,arousal,6.733333333333333
217,72,my22,10,An,prototype,arousal,7.066666666666666
220,73,my22,20,An,BO,arousal,7.333333333333333
229,76,my23,10,An,prototype,arousal,4.333333333333333
232,77,my23,20,An,BO,arousal,5.4
241,80,my24,10,An,prototype,arousal,6.266666666666667
244,81,my24,20,An,BO,arousal,7.2
253,84,my25,10,An,prototype,arousal,6.333333333333333
256,85,my25,20,An,BO,arousal,6.933333333333334
265,88,my26,10,An,prototype,arousal,4.933333333333334
268,89,my26,20,An,BO,arousal,5.466666666666667
7,2,my01,30,Ha,prototype,arousal,1.933333333333333
10,3,my01,40,Ha,BO,arousal,2.2666666666666666
19,6,my02,30,Ha,prototype,arousal,4.4
22,7,my02,40,Ha,BO,arousal,3.1333333333333333
31,10,my04,30,Ha,prototype,arousal,4.266666666666667
34,11,my04,40,Ha,BO,arousal,4.066666666666666
43,14,my05,30,Ha,prototype,arousal,4.733333333333333
46,15,my05,40,Ha,BO,arousal,3.0
55,18,my06,30,Ha,prototype,arousal,5.666666666666667
58,19,my06,40,Ha,BO,arousal,4.333333333333333
67,22,my09,30,Ha,prototype,arousal,5.4
70,23,my09,40,Ha,BO,arousal,4.133333333333334
79,26,my10,30,Ha,prototype,arousal,6.333333333333333
82,27,my10,40,Ha,BO,arousal,5.666666666666667
91,30,my11,30,Ha,prototype,arousal,5.6
94,31,my11,40,Ha,BO,arousal,4.0
103,34,my12,30,Ha,prototype,arousal,5.933333333333334
106,35,my12,40,Ha,BO,arousal,5.266666666666667
115,38,my13,30,Ha,prototype,arousal,3.466666666666667
118,39,my13,40,Ha,BO,arousal,3.0
127,42,my14,30,Ha,prototype,arousal,6.533333333333333
130,43,my14,40,Ha,BO,arousal,5.666666666666667
139,46,my15,30,Ha,prototype,arousal,6.133333333333334
142,47,my15,40,Ha,BO,arousal,5.6
151,50,my16,30,Ha,prototype,arousal,5.0
154,51,my16,40,Ha,BO,arousal,5.0
163,54,my17,30,Ha,prototype,arousal,5.533333333333333
166,55,my17,40,Ha,BO,arousal,3.8
175,58,my18,30,Ha,prototype,arousal,6.733333333333333
178,59,my18,40,Ha,BO,arousal,6.2
187,62,my19,30,Ha,prototype,arousal,6.333333333333333
190,63,my19,40,Ha,BO,arousal,4.066666666666666
199,66,my20,30,Ha,prototype,arousal,6.0
202,67,my20,40,Ha,BO,arousal,5.4
211,70,my21,30,Ha,prototype,arousal,2.8666666666666667
214,71,my21,40,Ha,BO,arousal,4.0
223,74,my22,30,Ha,prototype,arousal,5.6
226,75,my22,40,Ha,BO,arousal,4.866666666666666
235,78,my23,30,Ha,prototype,arousal,6.666666666666667
238,79,my23,40,Ha,BO,arousal,5.466666666666667
247,82,my24,30,Ha,prototype,arousal,4.733333333333333
250,83,my24,40,Ha,BO,arousal,3.6
259,86,my25,30,Ha,prototype,arousal,6.6
262,87,my25,40,Ha,BO,arousal,6.066666666666666
271,90,my26,30,Ha,prototype,arousal,4.266666666666667
274,91,my26,40,Ha,BO,arousal,3.733333333333333
